positive,0.9695788025856018	positive,0.43615424633026123	
positive,0.7750879526138306	neutral,0.7729219794273376	negative,0.9898325800895691	
positive,0.7750879526138306	positive,0.45802924036979675	positive,0.5364208817481995	
negative,0.4262758791446686	positive,0.42298102378845215	positive,0.5939133763313293	
negative,0.4107590615749359	positive,0.4061131775379181	positive,0.6313519477844238	
positive,0.6878964900970459	positive,0.6878964900970459	negative,0.9576497673988342	
positive,0.9123027324676514	negative,0.9576497673988342	positive,0.6022006273269653	
positive,0.9123027324676514	positive,0.8505657911300659	positive,0.8952503800392151	
negative,0.3850885331630707	negative,0.9452694058418274	neutral,0.7829994559288025	
positive,0.5833499431610107	neutral,0.7829994559288025	neutral,0.4170747697353363	
positive,0.5833499431610107	positive,0.8991180658340454	negative,0.7805692553520203	
positive,0.3955829441547394	positive,0.4971502125263214	negative,0.4722840189933777	
neutral,0.4926590919494629	positive,0.3909120559692383	neutral,0.7170266509056091	
neutral,0.5955127477645874	neutral,0.4405764937400818	positive,0.9094730615615845	
positive,0.4446395933628082	positive,0.5598844289779663	negative,0.8571252226829529	
positive,0.4446395933628082	negative,0.8571252226829529	negative,0.8302934169769287	
positive,0.4446395933628082	negative,0.6447070240974426	neutral,0.37695467472076416	
neutral,0.5483170747756958	positive,0.968819260597229	negative,0.38958653807640076	
positive,0.6887520551681519	positive,0.6887520551681519	negative,0.3907187283039093	
positive,0.7807253003120422	negative,0.42014965415000916	negative,0.9917150735855103	
positive,0.5032579302787781	negative,0.9343940615653992	positive,0.4540395438671112	
positive,0.8402482867240906	positive,0.44355395436286926	positive,0.5465403199195862	
positive,0.8402482867240906	positive,0.45737776160240173	positive,0.6361264586448669	
negative,0.41357409954071045	positive,0.7246291637420654	positive,0.51482093334198	
positive,0.6906086206436157	positive,0.6595544815063477	positive,0.6458656787872314	
positive,0.4508146345615387	positive,0.5232698321342468	positive,0.43614664673805237	
neutral,0.5866297483444214	positive,0.4492408037185669	positive,0.9921658039093018	
positive,0.5498886704444885	neutral,0.8160213232040405	positive,0.46407249569892883	
positive,0.8611701130867004	positive,0.4900442957878113	negative,0.7417101263999939	
positive,0.37345245480537415	positive,0.8381521105766296	neutral,0.42828264832496643	
positive,0.7342001795768738	positive,0.6223245859146118	negative,0.9097787737846375	
positive,0.41087964177131653	negative,0.9097787737846375	positive,0.4697253704071045	
positive,0.41087964177131653	positive,0.4697253704071045	negative,0.6126688122749329	
positive,0.41087964177131653	negative,0.6126688122749329	positive,0.45999324321746826	
positive,0.41087964177131653	positive,0.8124483823776245	positive,0.9810878038406372	
positive,0.974562406539917	negative,0.7022359371185303	positive,0.5913384556770325	
negative,0.8032163977622986	positive,0.4117790162563324	positive,0.37221741676330566	
negative,0.38227003812789917	neutral,0.6467968821525574	positive,0.35907819867134094	
negative,0.5177131295204163	positive,0.37107008695602417	positive,0.3664418160915375	
neutral,0.5307143330574036	negative,0.8303404450416565	positive,0.8208074569702148	
negative,0.371491402387619	positive,0.8208074569702148	negative,0.5686376094818115	
negative,0.371491402387619	positive,0.42421117424964905	positive,0.885469913482666	
positive,0.7585498690605164	positive,0.6116951107978821	positive,0.572883129119873	
positive,0.4266160726547241	neutral,0.5032851696014404	positive,0.7381145358085632	
positive,0.8409475088119507	positive,0.6177432537078857	positive,0.4627397656440735	
neutral,0.6849290728569031	negative,0.9402632713317871	negative,0.798067033290863	
negative,0.4287242889404297	negative,0.4287242889404297	positive,0.9715643525123596	
negative,0.815226137638092	positive,0.9715643525123596	negative,0.5590268969535828	
negative,0.815226137638092	negative,0.5590268969535828	positive,0.4436314105987549	
negative,0.815226137638092	positive,0.7507291436195374	positive,0.9586454033851624	
negative,0.815226137638092	negative,0.815226137638092	neutral,0.5080741047859192	
positive,0.5657770037651062	neutral,0.5080741047859192	negative,0.8946268558502197	
positive,0.5657770037651062	negative,0.8946268558502197	neutral,0.7902843356132507	
positive,0.5657770037651062	positive,0.5657770037651062	positive,0.8122907876968384	
positive,0.9187312722206116	negative,0.6414501070976257	neutral,0.36618921160697937	
negative,0.7872709631919861	neutral,0.36618921160697937	positive,0.4476717412471771	
negative,0.7872709631919861	positive,0.49154388904571533	positive,0.3921560049057007	
negative,0.7872709631919861	positive,0.6261767745018005	neutral,0.5314241647720337	
positive,0.8239782452583313	neutral,0.5314241647720337	negative,0.3617038130760193	
positive,0.8239782452583313	positive,0.8002468347549438	positive,0.6329798698425293	
neutral,0.5575563907623291	positive,0.6329798698425293	negative,0.624754786491394	
neutral,0.5575563907623291	neutral,0.5575563907623291	negative,0.5610790252685547	
negative,0.477138489484787	negative,0.5610790252685547	negative,0.4478660523891449	
negative,0.477138489484787	negative,0.4478660523891449	negative,0.5800552368164062	
negative,0.477138489484787	negative,0.6586143374443054	positive,0.5692843198776245	
neutral,0.4638049304485321	positive,0.9257885217666626	negative,0.4516601264476776	
positive,0.5095362067222595	positive,0.5095362067222595	positive,0.5708916187286377	
positive,0.7774335145950317	positive,0.5973625779151917	negative,0.39729106426239014	
neutral,0.36921003460884094	positive,0.7774335145950317	positive,0.420518696308136	
negative,0.44518446922302246	positive,0.420518696308136	positive,0.4561343789100647	
negative,0.44518446922302246	positive,0.4056726396083832	neutral,0.3765009939670563	
negative,0.6047558784484863	positive,0.7809891700744629	positive,0.43399661779403687	
neutral,0.891284167766571	positive,0.43399661779403687	negative,0.9355513453483582	
neutral,0.891284167766571	positive,0.924257218837738	positive,0.8849249482154846	
negative,0.47342750430107117	negative,0.47342750430107117	positive,0.4620618224143982	
neutral,0.47607898712158203	neutral,0.4756815433502197	neutral,0.5762888193130493	
positive,0.6015232801437378	positive,0.9693906903266907	negative,0.5059391260147095	
neutral,0.6248556971549988	positive,0.9577774405479431	positive,0.5003876090049744	
positive,0.9451484680175781	negative,0.8609943389892578	positive,0.811505913734436	
negative,0.9866452217102051	negative,0.46760988235473633	positive,0.5732179284095764	
negative,0.40086182951927185	negative,0.9855135679244995	positive,0.7803940773010254	
negative,0.9669454097747803	positive,0.5555682182312012	negative,0.8333353400230408	
negative,0.9724092483520508	negative,0.9669454097747803	negative,0.9605745077133179	
positive,0.5912492871284485	negative,0.9605745077133179	negative,0.6504484415054321	
positive,0.5912492871284485	positive,0.8070061802864075	neutral,0.4189539849758148	
positive,0.8907002806663513	positive,0.8907002806663513	positive,0.5767651796340942	
positive,0.5499995946884155	positive,0.5384093523025513	neutral,0.8094738721847534	
negative,0.43545734882354736	neutral,0.8094738721847534	neutral,0.8786165714263916	
negative,0.43545734882354736	positive,0.7906619906425476	positive,0.9352628588676453	
positive,0.38874509930610657	positive,0.9352628588676453	negative,0.4913235902786255	
positive,0.38874509930610657	negative,0.9238043427467346	positive,0.9196752309799194	
positive,0.7727079391479492	positive,0.42681965231895447	positive,0.4141421914100647	
negative,0.5700245499610901	positive,0.4141421914100647	positive,0.9172221422195435	
negative,0.5700245499610901	negative,0.5700245499610901	positive,0.5786370038986206	
positive,0.43335461616516113	positive,0.43335461616516113	positive,0.6120690107345581	
positive,0.6781970858573914	neutral,0.3661571443080902	negative,0.46670767664909363	
positive,0.5750033855438232	positive,0.9550634026527405	positive,0.4269436299800873	
positive,0.9513076543807983	positive,0.525454044342041	positive,0.9763191342353821	
neutral,0.6231830716133118	positive,0.9763191342353821	positive,0.9240291118621826	
neutral,0.6231830716133118	positive,0.9240291118621826	positive,0.5427865386009216	
neutral,0.6231830716133118	positive,0.5199877023696899	positive,0.7838021516799927	
positive,0.5966999530792236	neutral,0.6231830716133118	positive,0.5702589154243469	
neutral,0.4223736524581909	positive,0.7018954753875732	neutral,0.7649009227752686	
neutral,0.819377601146698	neutral,0.8461239337921143	positive,0.5849704742431641	
positive,0.9663916230201721	positive,0.7347206473350525	positive,0.576510488986969	
positive,0.40634095668792725	negative,0.7128470540046692	positive,0.4108237326145172	
positive,0.8563948273658752	positive,0.5020788311958313	neutral,0.5306811332702637	
positive,0.8563948273658752	positive,0.4147438406944275	positive,0.4547993242740631	
positive,0.7840433120727539	negative,0.3488479256629944	positive,0.5832551121711731	
negative,0.3484185039997101	neutral,0.4540673494338989	positive,0.5620589256286621	
negative,0.5373237729072571	positive,0.39221933484077454	positive,0.6253300309181213	
positive,0.6013491749763489	positive,0.6253300309181213	neutral,0.4016624987125397	
positive,0.6013491749763489	neutral,0.4016624987125397	neutral,0.66984623670578	
positive,0.6013491749763489	negative,0.48086246848106384	positive,0.7211945056915283	
positive,0.9913519620895386	positive,0.7211945056915283	positive,0.9426323175430298	
positive,0.9913519620895386	positive,0.6013491749763489	positive,0.9913519620895386	
positive,0.5203696489334106	positive,0.9913519620895386	positive,0.5203696489334106	
positive,0.9691520929336548	positive,0.48312675952911377	positive,0.7108911871910095	
negative,0.7933698892593384	negative,0.6449059844017029	negative,0.6557452082633972	
negative,0.4570845365524292	negative,0.7933698892593384	positive,0.787651538848877	
positive,0.6553463935852051	negative,0.4570845365524292	positive,0.6407667994499207	
positive,0.6383579969406128	positive,0.6553463935852051	negative,0.45882418751716614	
negative,0.5741949081420898	positive,0.6383579969406128	negative,0.5995677709579468	
positive,0.97208571434021	negative,0.46454066038131714	positive,0.8403937220573425	
positive,0.6081333160400391	positive,0.540215253829956	neutral,0.4210509657859802	
neutral,0.40708741545677185	neutral,0.40708741545677185	neutral,0.4158935546875	
positive,0.8805516958236694	positive,0.5443981289863586	neutral,0.70177161693573	
neutral,0.3645930886268616	neutral,0.70177161693573	negative,0.9677896499633789	
neutral,0.3645930886268616	positive,0.813419759273529	negative,0.7273715734481812	
positive,0.7828631401062012	positive,0.7828631401062012	positive,0.9922325015068054	
positive,0.485848069190979	
