positive,0.6630276441574097	negative,0.5075341463088989	neutral,0.4071650803089142	
positive,0.6662519574165344	positive,0.9152594208717346	neutral,0.6669890880584717	
positive,0.5407905578613281	positive,0.9380505681037903	positive,0.6134229898452759	
positive,0.6134229898452759	negative,0.5442755818367004	positive,0.37798866629600525	
positive,0.37798866629600525	negative,0.7864437699317932	positive,0.483150839805603	
positive,0.5815070271492004	negative,0.679956316947937	positive,0.483150839805603	
positive,0.483150839805603	negative,0.6811498403549194	negative,0.7451468706130981	
positive,0.44240832328796387	negative,0.7073870897293091	negative,0.42416781187057495	
positive,0.4339474141597748	negative,0.9621226191520691	positive,0.5709554553031921	
positive,0.9740518927574158	negative,0.7656829953193665	negative,0.750686526298523	
neutral,0.66984623670578	negative,0.6326609253883362	positive,0.6013491749763489	
positive,0.5203696489334106	positive,0.9287726283073425	negative,0.7933698892593384	
positive,0.787651538848877	negative,0.547775149345398	positive,0.6553463935852051	
negative,0.9228349328041077	positive,0.9558262228965759	negative,0.4020414352416992	
positive,0.6795522570610046	positive,0.5234668254852295	negative,0.5546956658363342	
