['positive', 'negative', 'neutral'][0.5577102899551392, 0.2766818404197693, 0.16560788452625275]	['negative', 'positive', 'neutral'][0.5864495635032654, 0.29881229996681213, 0.11473815143108368]	
['positive', 'negative', 'neutral'][0.4329400360584259, 0.4272231161594391, 0.1398368924856186]	['positive', 'negative', 'neutral'][0.5527294874191284, 0.2552828788757324, 0.19198760390281677]	['negative', 'positive', 'neutral'][0.5099167227745056, 0.2508861720561981, 0.23919712007045746]	
['positive', 'negative', 'neutral'][0.417422354221344, 0.3100646138191223, 0.2725130617618561]	['positive', 'neutral', 'negative'][0.7302499413490295, 0.25047531723976135, 0.019274812191724777]	['positive', 'neutral', 'negative'][0.7632334232330322, 0.16216695308685303, 0.07459963113069534]	
['neutral', 'negative', 'positive'][0.5463035702705383, 0.29991886019706726, 0.15377752482891083]	['positive', 'negative', 'neutral'][0.46215933561325073, 0.37328898906707764, 0.16455160081386566]	['positive', 'negative', 'neutral'][0.5430554747581482, 0.3128461241722107, 0.1440984010696411]	
['neutral', 'negative', 'positive'][0.5812756419181824, 0.353902667760849, 0.06482163071632385]	['positive', 'neutral', 'negative'][0.40894564986228943, 0.3325209319591522, 0.25853344798088074]	['positive', 'neutral', 'negative'][0.38436904549598694, 0.33636531233787537, 0.2792656421661377]	
['neutral', 'negative', 'positive'][0.6842241883277893, 0.3058186173439026, 0.009957154281437397]	['positive', 'negative', 'neutral'][0.531380832195282, 0.3134573996067047, 0.15516173839569092]	['positive', 'neutral', 'negative'][0.4693811535835266, 0.29504406452178955, 0.23557476699352264]	
['positive', 'neutral', 'negative'][0.5492809414863586, 0.3913990259170532, 0.05932007357478142]	['negative', 'positive', 'neutral'][0.7614391446113586, 0.1193431168794632, 0.11921776086091995]	['positive', 'neutral', 'negative'][0.4454723000526428, 0.29369282722473145, 0.2608349025249481]	
['positive', 'neutral', 'negative'][0.9806897044181824, 0.012957490049302578, 0.006352823227643967]	['positive', 'negative', 'neutral'][0.434048593044281, 0.3499237298965454, 0.2160276621580124]	['positive', 'negative', 'neutral'][0.49439701437950134, 0.32903599739074707, 0.1765669882297516]	
['neutral', 'negative', 'positive'][0.6410722136497498, 0.26094645261764526, 0.09798137843608856]	['neutral', 'negative', 'positive'][0.6410722136497498, 0.26094645261764526, 0.09798137843608856]	['negative', 'neutral', 'positive'][0.3757651448249817, 0.32351475954055786, 0.30072009563446045]	
['negative', 'neutral', 'positive'][0.5835170745849609, 0.3767797350883484, 0.039703186601400375]	['positive', 'negative', 'neutral'][0.9342197179794312, 0.037220027297735214, 0.028560210019350052]	['positive', 'negative', 'neutral'][0.5681231617927551, 0.2582317888736725, 0.17364507913589478]	
['neutral', 'positive', 'negative'][0.5779227614402771, 0.29552170634269714, 0.12655557692050934]	['negative', 'positive', 'neutral'][0.49077823758125305, 0.3567798435688019, 0.15244190394878387]	['negative', 'neutral', 'positive'][0.7120656967163086, 0.16621631383895874, 0.12171805649995804]	
['positive', 'neutral', 'negative'][0.6830765008926392, 0.17960314452648163, 0.1373203992843628]	['neutral', 'positive', 'negative'][0.42436355352401733, 0.305532306432724, 0.27010416984558105]	['negative', 'positive', 'neutral'][0.49897509813308716, 0.42201974987983704, 0.079005166888237]	
['neutral', 'negative', 'positive'][0.5782633423805237, 0.2668740451335907, 0.15486256778240204]	['negative', 'positive', 'neutral'][0.6472785472869873, 0.18100711703300476, 0.17171435058116913]	['positive', 'negative', 'neutral'][0.46913179755210876, 0.37044402956962585, 0.16042417287826538]	
['positive', 'negative', 'neutral'][0.9841779470443726, 0.011201568879187107, 0.004620554391294718]	['positive', 'negative', 'neutral'][0.9841779470443726, 0.011201568879187107, 0.004620554391294718]	['positive', 'neutral', 'negative'][0.4917771816253662, 0.29510053992271423, 0.21312229335308075]	
['negative', 'positive', 'neutral'][0.8511883616447449, 0.07599624246358871, 0.07281540334224701]	['positive', 'neutral', 'negative'][0.45296940207481384, 0.29706814885139465, 0.24996235966682434]	['positive', 'negative', 'neutral'][0.6269882321357727, 0.25215625762939453, 0.12085553258657455]	
['negative', 'neutral', 'positive'][0.4214801490306854, 0.29249173402786255, 0.28602805733680725]	['positive', 'negative', 'neutral'][0.4660220146179199, 0.4406394958496094, 0.0933384820818901]	['positive', 'negative', 'neutral'][0.4158376455307007, 0.3424660563468933, 0.241696298122406]	
['positive', 'negative', 'neutral'][0.3875643312931061, 0.3711404502391815, 0.2412952184677124]	['negative', 'positive', 'neutral'][0.39414435625076294, 0.30351361632347107, 0.3023420572280884]	['negative', 'neutral', 'positive'][0.8382760286331177, 0.10094103962182999, 0.060782961547374725]	
['positive', 'negative', 'neutral'][0.7492091655731201, 0.20377124845981598, 0.04701951891183853]	['positive', 'neutral', 'negative'][0.6227923035621643, 0.20143961906433105, 0.17576804757118225]	['positive', 'negative', 'neutral'][0.8496030569076538, 0.08612016588449478, 0.06427676230669022]	
['positive', 'neutral', 'negative'][0.3596014976501465, 0.3478552997112274, 0.2925432026386261]	['negative', 'positive', 'neutral'][0.4570215940475464, 0.38871634006500244, 0.15426208078861237]	['neutral', 'positive', 'negative'][0.8404585123062134, 0.11122427880764008, 0.04831722378730774]	
['negative', 'neutral', 'positive'][0.6254242658615112, 0.21283836662769318, 0.16173741221427917]	['negative', 'neutral', 'positive'][0.5163894295692444, 0.38099899888038635, 0.10261155664920807]	['neutral', 'positive', 'negative'][0.4521469473838806, 0.28211286664009094, 0.26574021577835083]	
['negative', 'positive', 'neutral'][0.5157550573348999, 0.2583821415901184, 0.22586274147033691]	['negative', 'neutral', 'positive'][0.7798474431037903, 0.12306397408246994, 0.097088523209095]	['positive', 'negative', 'neutral'][0.38003861904144287, 0.32506197690963745, 0.2948994040489197]	
['positive', 'neutral', 'negative'][0.5391035676002502, 0.28169211745262146, 0.17920434474945068]	['negative', 'positive', 'neutral'][0.3838840425014496, 0.321343332529068, 0.2947726547718048]	['positive', 'negative', 'neutral'][0.5086867809295654, 0.3309815227985382, 0.16033169627189636]	
['negative', 'positive', 'neutral'][0.4928218126296997, 0.33127012848854065, 0.17590808868408203]	['positive', 'negative', 'neutral'][0.4781472086906433, 0.2820160686969757, 0.2398367077112198]	['neutral', 'positive', 'negative'][0.36545395851135254, 0.35698655247688293, 0.27755942940711975]	
['positive', 'negative', 'neutral'][0.5654582977294922, 0.24984844028949738, 0.18469324707984924]	['negative', 'positive', 'neutral'][0.37588629126548767, 0.331825315952301, 0.2922883927822113]	['negative', 'positive', 'neutral'][0.49907392263412476, 0.3119060695171356, 0.18901997804641724]	
['negative', 'neutral', 'positive'][0.7440779209136963, 0.14592358469963074, 0.10999850183725357]	['neutral', 'negative', 'positive'][0.4707801043987274, 0.27348384261131287, 0.25573602318763733]	['negative', 'positive', 'neutral'][0.49952033162117004, 0.34705448150634766, 0.1534252017736435]	
['positive', 'neutral', 'negative'][0.8402835130691528, 0.1530752182006836, 0.006641319487243891]	['neutral', 'positive', 'negative'][0.63653963804245, 0.2207004874944687, 0.14275984466075897]	['positive', 'neutral', 'negative'][0.4392084777355194, 0.2912611961364746, 0.269530326128006]	
['negative', 'positive', 'neutral'][0.8998516798019409, 0.0753374770283699, 0.024810928851366043]	['neutral', 'positive', 'negative'][0.4419887959957123, 0.4163902997970581, 0.1416209191083908]	['positive', 'negative', 'neutral'][0.42340511083602905, 0.4081364870071411, 0.16845834255218506]	
['positive', 'neutral', 'negative'][0.5271148681640625, 0.2427731454372406, 0.2301119714975357]	
