['positive', 'negative', 'neutral'][0.9695788025856018, 0.016329199075698853, 0.01409198995679617]	['positive', 'negative', 'neutral'][0.43615424633026123, 0.33160868287086487, 0.23223702609539032]	
['neutral', 'positive', 'negative'][0.43331143260002136, 0.33455541729927063, 0.232133150100708]	['positive', 'negative', 'neutral'][0.38003861904144287, 0.32506197690963745, 0.2948994040489197]	['positive', 'neutral', 'negative'][0.5518286824226379, 0.25226467847824097, 0.1959066390991211]	
['negative', 'positive', 'neutral'][0.3838840425014496, 0.321343332529068, 0.2947726547718048]	['negative', 'positive', 'neutral'][0.4928218126296997, 0.33127012848854065, 0.17590808868408203]	['neutral', 'positive', 'negative'][0.4442456364631653, 0.39301231503486633, 0.1627419888973236]	
['positive', 'neutral', 'negative'][0.988530695438385, 0.0077398414723575115, 0.0037294270005077124]	['positive', 'negative', 'neutral'][0.5654582977294922, 0.24984844028949738, 0.18469324707984924]	['positive', 'neutral', 'negative'][0.8249492645263672, 0.1048596128821373, 0.07019111514091492]	
['negative', 'positive', 'neutral'][0.5184611678123474, 0.3227825164794922, 0.158756285905838]	['positive', 'neutral', 'negative'][0.934611439704895, 0.04182349890470505, 0.02356511354446411]	['neutral', 'negative', 'positive'][0.8673467636108398, 0.06967777758836746, 0.0629754438996315]	
['negative', 'positive', 'neutral'][0.5184611678123474, 0.3227825164794922, 0.158756285905838]	['negative', 'positive', 'neutral'][0.49907392263412476, 0.3119060695171356, 0.18901997804641724]	['negative', 'positive', 'neutral'][0.9764952659606934, 0.013931377790868282, 0.009573332034051418]	
['negative', 'neutral', 'positive'][0.5452434420585632, 0.3334159851074219, 0.1213405504822731]	['negative', 'neutral', 'positive'][0.8924901485443115, 0.06258556246757507, 0.044924329966306686]	['neutral', 'positive', 'negative'][0.6191762685775757, 0.37614524364471436, 0.004678434692323208]	
['negative', 'neutral', 'positive'][0.7833382487297058, 0.11734084039926529, 0.0993209108710289]	['neutral', 'positive', 'negative'][0.7391102313995361, 0.16454949975013733, 0.0963403582572937]	['neutral', 'positive', 'negative'][0.680304229259491, 0.2578292489051819, 0.061866484582424164]	
['positive', 'neutral', 'negative'][0.9918476343154907, 0.005292529705911875, 0.0028598003555089235]	['negative', 'positive', 'neutral'][0.41314414143562317, 0.3640476167201996, 0.22280821204185486]	['positive', 'neutral', 'negative'][0.5147013068199158, 0.35691407322883606, 0.1283845752477646]	
['positive', 'negative', 'neutral'][0.5670595765113831, 0.3160393536090851, 0.11690104007720947]	['positive', 'neutral', 'negative'][0.4500105082988739, 0.296297162771225, 0.2536923587322235]	['positive', 'negative', 'neutral'][0.662236213684082, 0.18039537966251373, 0.15736840665340424]	
['positive', 'negative', 'neutral'][0.8579607009887695, 0.07302957773208618, 0.06900972127914429]	['positive', 'negative', 'neutral'][0.6205072402954102, 0.2759256362915039, 0.10356710106134415]	['neutral', 'positive', 'negative'][0.7729219794273376, 0.18593662977218628, 0.04114140197634697]	
['positive', 'neutral', 'negative'][0.7750879526138306, 0.18069782853126526, 0.04421425238251686]	['neutral', 'positive', 'negative'][0.7729219794273376, 0.18593662977218628, 0.04114140197634697]	['negative', 'neutral', 'positive'][0.9898325800895691, 0.005135067272931337, 0.0050323111936450005]	
['positive', 'neutral', 'negative'][0.7750879526138306, 0.18069782853126526, 0.04421425238251686]	['positive', 'neutral', 'negative'][0.45802924036979675, 0.33418357372283936, 0.20778711140155792]	['positive', 'negative', 'neutral'][0.5364208817481995, 0.2993578612804413, 0.16422119736671448]	
['negative', 'positive', 'neutral'][0.4262758791446686, 0.3242895305156708, 0.24943462014198303]	['positive', 'negative', 'neutral'][0.42298102378845215, 0.3984224200248718, 0.1785965859889984]	['positive', 'neutral', 'negative'][0.5939133763313293, 0.24022679030895233, 0.16585984826087952]	
['negative', 'neutral', 'positive'][0.4107590615749359, 0.37649503350257874, 0.21274593472480774]	['positive', 'neutral', 'negative'][0.4061131775379181, 0.3165183961391449, 0.2773683965206146]	['positive', 'negative', 'neutral'][0.6313519477844238, 0.22950579226016998, 0.13914218544960022]	
['positive', 'neutral', 'negative'][0.6878964900970459, 0.16753257811069489, 0.1445709466934204]	['positive', 'neutral', 'negative'][0.6878964900970459, 0.16753257811069489, 0.1445709466934204]	['negative', 'neutral', 'positive'][0.9576497673988342, 0.025733493268489838, 0.016616668552160263]	
['positive', 'negative', 'neutral'][0.9123027324676514, 0.05037768930196762, 0.0373196117579937]	['negative', 'neutral', 'positive'][0.9576497673988342, 0.025733493268489838, 0.016616668552160263]	['positive', 'neutral', 'negative'][0.6022006273269653, 0.20403046905994415, 0.1937689483165741]	
['positive', 'negative', 'neutral'][0.9123027324676514, 0.05037768930196762, 0.0373196117579937]	['positive', 'negative', 'neutral'][0.8505657911300659, 0.09277772903442383, 0.056656498461961746]	['positive', 'negative', 'neutral'][0.8952503800392151, 0.054491784423589706, 0.05025788024067879]	
['negative', 'positive', 'neutral'][0.3850885331630707, 0.34875398874282837, 0.26615744829177856]	['negative', 'positive', 'neutral'][0.9452694058418274, 0.03243820741772652, 0.022292355075478554]	['neutral', 'negative', 'positive'][0.7829994559288025, 0.1274193376302719, 0.08958117663860321]	
['positive', 'neutral', 'negative'][0.5833499431610107, 0.33168601989746094, 0.08496399223804474]	['neutral', 'negative', 'positive'][0.7829994559288025, 0.1274193376302719, 0.08958117663860321]	['neutral', 'positive', 'negative'][0.4170747697353363, 0.36851850152015686, 0.21440672874450684]	
['positive', 'neutral', 'negative'][0.5833499431610107, 0.33168601989746094, 0.08496399223804474]	['positive', 'neutral', 'negative'][0.8991180658340454, 0.061803970485925674, 0.039077963680028915]	['negative', 'neutral', 'positive'][0.7805692553520203, 0.12217141687870026, 0.0972592830657959]	
['positive', 'neutral', 'negative'][0.3955829441547394, 0.374997079372406, 0.2294200360774994]	['positive', 'negative', 'neutral'][0.4971502125263214, 0.3465506434440613, 0.15629909932613373]	['negative', 'positive', 'neutral'][0.4722840189933777, 0.3580203056335449, 0.169695645570755]	
['neutral', 'negative', 'positive'][0.4926590919494629, 0.331697940826416, 0.1756429821252823]	['positive', 'neutral', 'negative'][0.3909120559692383, 0.36690980195999146, 0.24217814207077026]	['neutral', 'negative', 'positive'][0.7170266509056091, 0.1489776074886322, 0.13399574160575867]	
['neutral', 'negative', 'positive'][0.5955127477645874, 0.3018805682659149, 0.10260668396949768]	['neutral', 'positive', 'negative'][0.4405764937400818, 0.35154998302459717, 0.20787355303764343]	['positive', 'neutral', 'negative'][0.9094730615615845, 0.07165836542844772, 0.018868595361709595]	
['positive', 'negative', 'neutral'][0.4446395933628082, 0.3091013729572296, 0.24625898897647858]	['positive', 'negative', 'neutral'][0.5598844289779663, 0.25798988342285156, 0.18212570250034332]	['negative', 'neutral', 'positive'][0.8571252226829529, 0.07422973960638046, 0.06864502280950546]	
['positive', 'negative', 'neutral'][0.4446395933628082, 0.3091013729572296, 0.24625898897647858]	['negative', 'neutral', 'positive'][0.8571252226829529, 0.07422973960638046, 0.06864502280950546]	['negative', 'positive', 'neutral'][0.8302934169769287, 0.12013065814971924, 0.04957596957683563]	
['positive', 'negative', 'neutral'][0.4446395933628082, 0.3091013729572296, 0.24625898897647858]	['negative', 'neutral', 'positive'][0.6447070240974426, 0.18716196715831757, 0.1681310087442398]	['neutral', 'positive', 'negative'][0.37695467472076416, 0.32524925470352173, 0.2977960407733917]	
['neutral', 'positive', 'negative'][0.5483170747756958, 0.3466726541519165, 0.1050102636218071]	['positive', 'negative', 'neutral'][0.968819260597229, 0.018705906346440315, 0.012474803254008293]	['negative', 'positive', 'neutral'][0.38958653807640076, 0.35838234424591064, 0.2520311772823334]	
['positive', 'negative', 'neutral'][0.6887520551681519, 0.18265588581562042, 0.1285921186208725]	['positive', 'negative', 'neutral'][0.6887520551681519, 0.18265588581562042, 0.1285921186208725]	['negative', 'positive', 'neutral'][0.3907187283039093, 0.35624024271965027, 0.25304099917411804]	
['positive', 'negative', 'neutral'][0.7807253003120422, 0.11583761870861053, 0.10343705862760544]	['negative', 'neutral', 'positive'][0.42014965415000916, 0.3960008919239044, 0.18384942412376404]	['negative', 'neutral', 'positive'][0.9917150735855103, 0.004771300125867128, 0.003513700095936656]	
['positive', 'negative', 'neutral'][0.5032579302787781, 0.35720476508140564, 0.13953731954097748]	['negative', 'positive', 'neutral'][0.9343940615653992, 0.03458130359649658, 0.031024619936943054]	['positive', 'negative', 'neutral'][0.4540395438671112, 0.28935927152633667, 0.25660112500190735]	
['positive', 'negative', 'neutral'][0.8402482867240906, 0.08427806198596954, 0.07547367364168167]	['positive', 'neutral', 'negative'][0.44355395436286926, 0.3714585304260254, 0.18498754501342773]	['positive', 'neutral', 'negative'][0.5465403199195862, 0.2791330814361572, 0.1743265837430954]	
['positive', 'negative', 'neutral'][0.8402482867240906, 0.08427806198596954, 0.07547367364168167]	['positive', 'negative', 'neutral'][0.45737776160240173, 0.3842523992061615, 0.15836986899375916]	['positive', 'negative', 'neutral'][0.6361264586448669, 0.2664141058921814, 0.09745946526527405]	
['negative', 'positive', 'neutral'][0.41357409954071045, 0.38329583406448364, 0.20313005149364471]	['positive', 'negative', 'neutral'][0.7246291637420654, 0.1873164176940918, 0.08805442601442337]	['positive', 'negative', 'neutral'][0.51482093334198, 0.3548935651779175, 0.13028548657894135]	
['positive', 'negative', 'neutral'][0.6906086206436157, 0.1949421912431717, 0.11444921791553497]	['positive', 'negative', 'neutral'][0.6595544815063477, 0.27029475569725037, 0.07015074789524078]	['positive', 'neutral', 'negative'][0.6458656787872314, 0.2137674242258072, 0.14036688208580017]	
['positive', 'negative', 'neutral'][0.4508146345615387, 0.3145793676376343, 0.23460598289966583]	['positive', 'neutral', 'negative'][0.5232698321342468, 0.25783243775367737, 0.2188977301120758]	['positive', 'neutral', 'negative'][0.43614664673805237, 0.2886379659175873, 0.27521538734436035]	
['neutral', 'positive', 'negative'][0.5866297483444214, 0.36916375160217285, 0.04420651122927666]	['positive', 'neutral', 'negative'][0.4492408037185669, 0.27572688460350037, 0.27503228187561035]	['positive', 'neutral', 'negative'][0.9921658039093018, 0.004877590574324131, 0.0029566590674221516]	
['positive', 'negative', 'neutral'][0.5498886704444885, 0.38531094789505005, 0.06480037420988083]	['neutral', 'positive', 'negative'][0.8160213232040405, 0.153117373585701, 0.030861303210258484]	['positive', 'negative', 'neutral'][0.46407249569892883, 0.33663618564605713, 0.19929139316082]	
['positive', 'negative', 'neutral'][0.8611701130867004, 0.09439198672771454, 0.044437821954488754]	['positive', 'neutral', 'negative'][0.4900442957878113, 0.4760308861732483, 0.03392474725842476]	['negative', 'positive', 'neutral'][0.7417101263999939, 0.18938343226909637, 0.06890645623207092]	
['positive', 'neutral', 'negative'][0.37345245480537415, 0.3156125247478485, 0.31093502044677734]	['positive', 'negative', 'neutral'][0.8381521105766296, 0.1374950259923935, 0.024352895095944405]	['neutral', 'positive', 'negative'][0.42828264832496643, 0.28649336099624634, 0.2852240204811096]	
['positive', 'negative', 'neutral'][0.7342001795768738, 0.21597564220428467, 0.0498240627348423]	['positive', 'negative', 'neutral'][0.6223245859146118, 0.22522975504398346, 0.1524456888437271]	['negative', 'positive', 'neutral'][0.9097787737846375, 0.08216443657875061, 0.008056823164224625]	
['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	['negative', 'positive', 'neutral'][0.9097787737846375, 0.08216443657875061, 0.008056823164224625]	['positive', 'negative', 'neutral'][0.4697253704071045, 0.2656560242176056, 0.2646186351776123]	
['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	['positive', 'negative', 'neutral'][0.4697253704071045, 0.2656560242176056, 0.2646186351776123]	['negative', 'positive', 'neutral'][0.6126688122749329, 0.28149163722991943, 0.10583961755037308]	
['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	['negative', 'positive', 'neutral'][0.6126688122749329, 0.28149163722991943, 0.10583961755037308]	['positive', 'neutral', 'negative'][0.45999324321746826, 0.30555546283721924, 0.23445124924182892]	
['positive', 'negative', 'neutral'][0.41087964177131653, 0.3563348948955536, 0.2327854484319687]	['positive', 'negative', 'neutral'][0.8124483823776245, 0.1731269806623459, 0.014424556866288185]	['positive', 'neutral', 'negative'][0.9810878038406372, 0.010982276871800423, 0.007929956540465355]	
['positive', 'neutral', 'negative'][0.974562406539917, 0.017263827845454216, 0.00817375909537077]	['negative', 'neutral', 'positive'][0.7022359371185303, 0.1917857974767685, 0.10597825795412064]	['positive', 'neutral', 'negative'][0.5913384556770325, 0.22752080857753754, 0.18114079535007477]	
['negative', 'positive', 'neutral'][0.8032163977622986, 0.10564148426055908, 0.09114209562540054]	['positive', 'neutral', 'negative'][0.4117790162563324, 0.36696934700012207, 0.22125160694122314]	['positive', 'neutral', 'negative'][0.37221741676330566, 0.348325252532959, 0.27945730090141296]	
['negative', 'neutral', 'positive'][0.38227003812789917, 0.37808242440223694, 0.23964756727218628]	['neutral', 'negative', 'positive'][0.6467968821525574, 0.2746526896953583, 0.07855042070150375]	['positive', 'neutral', 'negative'][0.35907819867134094, 0.342799574136734, 0.29812219738960266]	
['negative', 'positive', 'neutral'][0.5177131295204163, 0.30766549706459045, 0.17462138831615448]	['positive', 'neutral', 'negative'][0.37107008695602417, 0.35977602005004883, 0.2691539227962494]	['positive', 'negative', 'neutral'][0.3664418160915375, 0.3469157814979553, 0.28664231300354004]	
['neutral', 'positive', 'negative'][0.5307143330574036, 0.2428072690963745, 0.22647841274738312]	['negative', 'positive', 'neutral'][0.8303404450416565, 0.09605022519826889, 0.07360932976007462]	['positive', 'neutral', 'negative'][0.8208074569702148, 0.10348774492740631, 0.07570483535528183]	
['negative', 'neutral', 'positive'][0.371491402387619, 0.3329264521598816, 0.2955821454524994]	['positive', 'neutral', 'negative'][0.8208074569702148, 0.10348774492740631, 0.07570483535528183]	['negative', 'neutral', 'positive'][0.5686376094818115, 0.35139188170433044, 0.07997047901153564]	
['negative', 'neutral', 'positive'][0.371491402387619, 0.3329264521598816, 0.2955821454524994]	['positive', 'neutral', 'negative'][0.42421117424964905, 0.31232690811157227, 0.2634619474411011]	['positive', 'neutral', 'negative'][0.885469913482666, 0.07459188997745514, 0.03993813320994377]	
['positive', 'negative', 'neutral'][0.7585498690605164, 0.13211649656295776, 0.10933364182710648]	['positive', 'neutral', 'negative'][0.6116951107978821, 0.21918326616287231, 0.16912151873111725]	['positive', 'neutral', 'negative'][0.572883129119873, 0.2607205808162689, 0.1663963347673416]	
['positive', 'neutral', 'negative'][0.4266160726547241, 0.29217660427093506, 0.28120726346969604]	['neutral', 'positive', 'negative'][0.5032851696014404, 0.2999154031276703, 0.1967993527650833]	['positive', 'negative', 'neutral'][0.7381145358085632, 0.17091965675354004, 0.09096576273441315]	
['positive', 'negative', 'neutral'][0.8409475088119507, 0.10035574436187744, 0.05869670957326889]	['positive', 'negative', 'neutral'][0.6177432537078857, 0.24491457641124725, 0.1373421847820282]	['positive', 'neutral', 'negative'][0.4627397656440735, 0.2877923548221588, 0.2494678944349289]	
['neutral', 'positive', 'negative'][0.6849290728569031, 0.16944999992847443, 0.14562095701694489]	['negative', 'neutral', 'positive'][0.9402632713317871, 0.044962089508771896, 0.014774628914892673]	['negative', 'neutral', 'positive'][0.798067033290863, 0.12084377557039261, 0.08108922839164734]	
['negative', 'neutral', 'positive'][0.4287242889404297, 0.4003305435180664, 0.1709452122449875]	['negative', 'neutral', 'positive'][0.4287242889404297, 0.4003305435180664, 0.1709452122449875]	['positive', 'neutral', 'negative'][0.9715643525123596, 0.019494762644171715, 0.00894092582166195]	
['negative', 'positive', 'neutral'][0.815226137638092, 0.09357459098100662, 0.09119930863380432]	['positive', 'neutral', 'negative'][0.9715643525123596, 0.019494762644171715, 0.00894092582166195]	['negative', 'neutral', 'positive'][0.5590268969535828, 0.24677787721157074, 0.1941952109336853]	
['negative', 'positive', 'neutral'][0.815226137638092, 0.09357459098100662, 0.09119930863380432]	['negative', 'neutral', 'positive'][0.5590268969535828, 0.24677787721157074, 0.1941952109336853]	['positive', 'neutral', 'negative'][0.4436314105987549, 0.43416985869407654, 0.12219875305891037]	
['negative', 'positive', 'neutral'][0.815226137638092, 0.09357459098100662, 0.09119930863380432]	['positive', 'neutral', 'negative'][0.7507291436195374, 0.16525021195411682, 0.08402067422866821]	['positive', 'neutral', 'negative'][0.9586454033851624, 0.031025966629385948, 0.010328654199838638]	
['negative', 'positive', 'neutral'][0.815226137638092, 0.09357459098100662, 0.09119930863380432]	['negative', 'positive', 'neutral'][0.815226137638092, 0.09357459098100662, 0.09119930863380432]	['neutral', 'positive', 'negative'][0.5080741047859192, 0.3463119864463806, 0.14561393857002258]	
['positive', 'neutral', 'negative'][0.5657770037651062, 0.3232172131538391, 0.1110057458281517]	['neutral', 'positive', 'negative'][0.5080741047859192, 0.3463119864463806, 0.14561393857002258]	['negative', 'neutral', 'positive'][0.8946268558502197, 0.05351708084344864, 0.05185611546039581]	
['positive', 'neutral', 'negative'][0.5657770037651062, 0.3232172131538391, 0.1110057458281517]	['negative', 'neutral', 'positive'][0.8946268558502197, 0.05351708084344864, 0.05185611546039581]	['neutral', 'positive', 'negative'][0.7902843356132507, 0.1291007399559021, 0.08061487972736359]	
['positive', 'neutral', 'negative'][0.5657770037651062, 0.3232172131538391, 0.1110057458281517]	['positive', 'neutral', 'negative'][0.5657770037651062, 0.3232172131538391, 0.1110057458281517]	['positive', 'neutral', 'negative'][0.8122907876968384, 0.11474008858203888, 0.07296911627054214]	
['positive', 'neutral', 'negative'][0.9187312722206116, 0.057249557226896286, 0.02401912771165371]	['negative', 'neutral', 'positive'][0.6414501070976257, 0.2329574078321457, 0.125592440366745]	['neutral', 'negative', 'positive'][0.36618921160697937, 0.3260762095451355, 0.30773454904556274]	
['negative', 'neutral', 'positive'][0.7872709631919861, 0.20538988709449768, 0.007339147385209799]	['neutral', 'negative', 'positive'][0.36618921160697937, 0.3260762095451355, 0.30773454904556274]	['positive', 'neutral', 'negative'][0.4476717412471771, 0.3196227550506592, 0.23270554840564728]	
['negative', 'neutral', 'positive'][0.7872709631919861, 0.20538988709449768, 0.007339147385209799]	['positive', 'neutral', 'negative'][0.49154388904571533, 0.3894691467285156, 0.11898695677518845]	['positive', 'negative', 'neutral'][0.3921560049057007, 0.37182801961898804, 0.23601597547531128]	
['negative', 'neutral', 'positive'][0.7872709631919861, 0.20538988709449768, 0.007339147385209799]	['positive', 'neutral', 'negative'][0.6261767745018005, 0.21507950127124786, 0.1587436944246292]	['neutral', 'negative', 'positive'][0.5314241647720337, 0.32928889989852905, 0.13928699493408203]	
['positive', 'negative', 'neutral'][0.8239782452583313, 0.08985312283039093, 0.08616862446069717]	['neutral', 'negative', 'positive'][0.5314241647720337, 0.32928889989852905, 0.13928699493408203]	['negative', 'neutral', 'positive'][0.3617038130760193, 0.33212724328041077, 0.30616888403892517]	
['positive', 'negative', 'neutral'][0.8239782452583313, 0.08985312283039093, 0.08616862446069717]	['positive', 'negative', 'neutral'][0.8002468347549438, 0.11695744842290878, 0.08279567956924438]	['positive', 'negative', 'neutral'][0.6329798698425293, 0.26082998514175415, 0.10619007050991058]	
['neutral', 'positive', 'negative'][0.5575563907623291, 0.32339438796043396, 0.11904920637607574]	['positive', 'negative', 'neutral'][0.6329798698425293, 0.26082998514175415, 0.10619007050991058]	['negative', 'positive', 'neutral'][0.624754786491394, 0.24547016620635986, 0.12977509200572968]	
['neutral', 'positive', 'negative'][0.5575563907623291, 0.32339438796043396, 0.11904920637607574]	['neutral', 'positive', 'negative'][0.5575563907623291, 0.32339438796043396, 0.11904920637607574]	['negative', 'neutral', 'positive'][0.5610790252685547, 0.2562773823738098, 0.18264363706111908]	
['negative', 'positive', 'neutral'][0.477138489484787, 0.29889705777168274, 0.22396445274353027]	['negative', 'neutral', 'positive'][0.5610790252685547, 0.2562773823738098, 0.18264363706111908]	['negative', 'neutral', 'positive'][0.4478660523891449, 0.4244925081729889, 0.12764139473438263]	
['negative', 'positive', 'neutral'][0.477138489484787, 0.29889705777168274, 0.22396445274353027]	['negative', 'neutral', 'positive'][0.4478660523891449, 0.4244925081729889, 0.12764139473438263]	['negative', 'neutral', 'positive'][0.5800552368164062, 0.2692074775695801, 0.15073733031749725]	
['negative', 'positive', 'neutral'][0.477138489484787, 0.29889705777168274, 0.22396445274353027]	['negative', 'neutral', 'positive'][0.6586143374443054, 0.18203899264335632, 0.15934665501117706]	['positive', 'neutral', 'negative'][0.5692843198776245, 0.2548089623451233, 0.1759067326784134]	
['neutral', 'positive', 'negative'][0.4638049304485321, 0.2817845642566681, 0.2544104754924774]	['positive', 'neutral', 'negative'][0.9257885217666626, 0.05110110715031624, 0.023110337555408478]	['negative', 'neutral', 'positive'][0.4516601264476776, 0.27661988139152527, 0.2717200517654419]	
['positive', 'neutral', 'negative'][0.5095362067222595, 0.4110068082809448, 0.07945702224969864]	['positive', 'neutral', 'negative'][0.5095362067222595, 0.4110068082809448, 0.07945702224969864]	['positive', 'negative', 'neutral'][0.5708916187286377, 0.2724381983280182, 0.1566702425479889]	
