['positive', 'negative', 'neutral'][0.7807253003120422, 0.11583761870861053, 0.10343705862760544]	['positive', 'negative', 'neutral'][0.41531866788864136, 0.39683616161346436, 0.18784520030021667]	
['negative', 'positive', 'neutral'][0.5453037619590759, 0.2421138435602188, 0.21258245408535004]	['negative', 'neutral', 'positive'][0.6368774771690369, 0.2616203725337982, 0.10150217264890671]	['positive', 'neutral', 'negative'][0.9680944085121155, 0.018856706097722054, 0.01304887980222702]	
['positive', 'negative', 'neutral'][0.5092499256134033, 0.27230799198150635, 0.21844208240509033]	['negative', 'positive', 'neutral'][0.4998212456703186, 0.25080278515815735, 0.24937596917152405]	['negative', 'positive', 'neutral'][0.9866452217102051, 0.007812469266355038, 0.005542273633182049]	
['neutral', 'negative', 'positive'][0.6294780969619751, 0.3044230341911316, 0.06609885394573212]	['negative', 'positive', 'neutral'][0.40086182951927185, 0.381087064743042, 0.21805110573768616]	['positive', 'negative', 'neutral'][0.45229822397232056, 0.30591127276420593, 0.24179045855998993]	
['positive', 'negative', 'neutral'][0.5872952342033386, 0.2751503586769104, 0.13755439221858978]	['positive', 'negative', 'neutral'][0.8396555781364441, 0.1264502853155136, 0.033894170075654984]	['positive', 'neutral', 'negative'][0.9773135185241699, 0.011632323265075684, 0.011054123751819134]	
['positive', 'negative', 'neutral'][0.9546830058097839, 0.023227794095873833, 0.02208911068737507]	['negative', 'neutral', 'positive'][0.5292590856552124, 0.30519580841064453, 0.16554513573646545]	['negative', 'neutral', 'positive'][0.5059523582458496, 0.26161107420921326, 0.23243653774261475]	
['negative', 'neutral', 'positive'][0.6243454217910767, 0.2707941234111786, 0.10486041009426117]	['positive', 'negative', 'neutral'][0.8502612113952637, 0.08254234492778778, 0.06719639897346497]	['positive', 'negative', 'neutral'][0.4026247560977936, 0.33749160170555115, 0.25988370180130005]	
['positive', 'neutral', 'negative'][0.9848862886428833, 0.011945375241339207, 0.003168337047100067]	['positive', 'negative', 'neutral'][0.9723246097564697, 0.014075472950935364, 0.013599940575659275]	['positive', 'negative', 'neutral'][0.4159640967845917, 0.37467721104621887, 0.20935873687267303]	
['neutral', 'positive', 'negative'][0.6484006643295288, 0.30874866247177124, 0.04285070672631264]	['positive', 'negative', 'neutral'][0.5689508318901062, 0.28302767872810364, 0.1480213850736618]	['positive', 'neutral', 'negative'][0.6662519574165344, 0.18203063309192657, 0.1517174243927002]	
['positive', 'neutral', 'negative'][0.8340872526168823, 0.15414677560329437, 0.011766024865210056]	['neutral', 'positive', 'negative'][0.7181640863418579, 0.23124384880065918, 0.05059205740690231]	['negative', 'neutral', 'positive'][0.3987213671207428, 0.32665881514549255, 0.27461978793144226]	
['positive', 'neutral', 'negative'][0.8528496623039246, 0.10609754920005798, 0.041052866727113724]	['positive', 'negative', 'neutral'][0.6851359605789185, 0.2085796296596527, 0.10628445446491241]	['positive', 'neutral', 'negative'][0.5632489323616028, 0.2439032644033432, 0.19284778833389282]	
['positive', 'negative', 'neutral'][0.9567811489105225, 0.026514561846852303, 0.016704345121979713]	['positive', 'negative', 'neutral'][0.9567811489105225, 0.026514561846852303, 0.016704345121979713]	['positive', 'negative', 'neutral'][0.41723740100860596, 0.38660508394241333, 0.19615750014781952]	
['positive', 'negative', 'neutral'][0.5407379865646362, 0.31455376744270325, 0.14470820128917694]	['positive', 'negative', 'neutral'][0.3715576231479645, 0.3447898328304291, 0.28365251421928406]	['negative', 'positive', 'neutral'][0.5527048707008362, 0.36117520928382874, 0.08611990511417389]	
['positive', 'negative', 'neutral'][0.6988052129745483, 0.1893921196460724, 0.11180263757705688]	['positive', 'negative', 'neutral'][0.39313456416130066, 0.35147741436958313, 0.2553880214691162]	['positive', 'negative', 'neutral'][0.37022340297698975, 0.31690457463264465, 0.312872052192688]	
['positive', 'neutral', 'negative'][0.8467041254043579, 0.07827992737293243, 0.07501599192619324]	['negative', 'neutral', 'positive'][0.7031127214431763, 0.17563913762569427, 0.12124819308519363]	['positive', 'negative', 'neutral'][0.42297402024269104, 0.34025275707244873, 0.2367732673883438]	
['positive', 'neutral', 'negative'][0.9047629833221436, 0.07613778859376907, 0.01909920759499073]	['negative', 'neutral', 'positive'][0.38035404682159424, 0.3527749478816986, 0.26687097549438477]	['positive', 'neutral', 'negative'][0.7706100344657898, 0.13226652145385742, 0.09712346643209457]	
['negative', 'positive', 'neutral'][0.4600588083267212, 0.4048056900501251, 0.1351354867219925]	['positive', 'negative', 'neutral'][0.6105012893676758, 0.2695670425891876, 0.11993160098791122]	['negative', 'positive', 'neutral'][0.7451468706130981, 0.15294936299324036, 0.1019037589430809]	
['positive', 'neutral', 'negative'][0.3675720989704132, 0.3479522168636322, 0.284475713968277]	
