['positive', 'negative', 'neutral'][0.9484821557998657, 0.03278902918100357, 0.01872876286506653]	['positive', 'negative', 'neutral'][0.6909542679786682, 0.29566970467567444, 0.013376056216657162]	
['neutral', 'positive', 'negative'][0.4399285912513733, 0.3664010465145111, 0.193670392036438]	['positive', 'negative', 'neutral'][0.5245569944381714, 0.31588587164878845, 0.15955717861652374]	['positive', 'negative', 'neutral'][0.4232015609741211, 0.3090243935585022, 0.2677740156650543]	
['positive', 'negative', 'neutral'][0.886506974697113, 0.07757250964641571, 0.03592047840356827]	['positive', 'neutral', 'negative'][0.5431286692619324, 0.3976439833641052, 0.05922731012105942]	['neutral', 'positive', 'negative'][0.4694007933139801, 0.379741370677948, 0.1508578211069107]	
['negative', 'positive', 'neutral'][0.577547013759613, 0.22811321914196014, 0.194339781999588]	['negative', 'positive', 'neutral'][0.4445376694202423, 0.4355476498603821, 0.11991466581821442]	['positive', 'neutral', 'negative'][0.6878964900970459, 0.16753257811069489, 0.1445709466934204]	
['positive', 'neutral', 'negative'][0.43882015347480774, 0.37522366642951965, 0.18595613539218903]	['negative', 'neutral', 'positive'][0.47519639134407043, 0.2790496051311493, 0.24575398862361908]	['negative', 'positive', 'neutral'][0.46116191148757935, 0.3563391864299774, 0.18249893188476562]	
['positive', 'neutral', 'negative'][0.9864452481269836, 0.009779894724488258, 0.0037748354952782393]	['positive', 'negative', 'neutral'][0.4735965132713318, 0.31483110785484314, 0.21157237887382507]	['negative', 'positive', 'neutral'][0.5161052346229553, 0.31085893511772156, 0.1730358600616455]	
['negative', 'neutral', 'positive'][0.5064849853515625, 0.381492555141449, 0.11202241480350494]	['positive', 'neutral', 'negative'][0.5153529047966003, 0.25487327575683594, 0.22977383434772491]	['neutral', 'negative', 'positive'][0.3990544378757477, 0.30460330843925476, 0.29634231328964233]	
['positive', 'negative', 'neutral'][0.41330090165138245, 0.3177025020122528, 0.26899659633636475]	['negative', 'positive', 'neutral'][0.442140132188797, 0.4100078046321869, 0.14785204827785492]	['negative', 'neutral', 'positive'][0.9137620329856873, 0.06443067640066147, 0.021807286888360977]	
['negative', 'neutral', 'positive'][0.5733368992805481, 0.2418983429670334, 0.1847647875547409]	['negative', 'neutral', 'positive'][0.9552499651908875, 0.024113385006785393, 0.020636621862649918]	['positive', 'negative', 'neutral'][0.6401738524436951, 0.2474760264158249, 0.11235009878873825]	
['positive', 'negative', 'neutral'][0.800499677658081, 0.13724474608898163, 0.06225558742880821]	['negative', 'positive', 'neutral'][0.47469326853752136, 0.46312272548675537, 0.06218397244811058]	['positive', 'negative', 'neutral'][0.4198964834213257, 0.3885160982608795, 0.1915874034166336]	
['negative', 'positive', 'neutral'][0.6794739961624146, 0.20593617856502533, 0.1145898848772049]	['negative', 'positive', 'neutral'][0.38376641273498535, 0.37781015038490295, 0.2384234368801117]	['negative', 'positive', 'neutral'][0.991979718208313, 0.0045075565576553345, 0.003512689145281911]	
['positive', 'neutral', 'negative'][0.5120452642440796, 0.2564859986305237, 0.23146872222423553]	['positive', 'neutral', 'negative'][0.9661360383033752, 0.020491665229201317, 0.01337231881916523]	['positive', 'neutral', 'negative'][0.7274315357208252, 0.14767315983772278, 0.12489522993564606]	
['negative', 'positive', 'neutral'][0.5120251178741455, 0.30177998542785645, 0.18619485199451447]	['positive', 'negative', 'neutral'][0.43431371450424194, 0.38103753328323364, 0.18464875221252441]	['positive', 'neutral', 'negative'][0.8702514171600342, 0.09625019878149033, 0.033498365432024]	
['negative', 'positive', 'neutral'][0.45452502369880676, 0.36646583676338196, 0.17900916934013367]	['negative', 'neutral', 'positive'][0.554556667804718, 0.2516288459300995, 0.1938144415616989]	['negative', 'positive', 'neutral'][0.7861819863319397, 0.17372003197669983, 0.040097951889038086]	
['positive', 'negative', 'neutral'][0.46843352913856506, 0.43894100189208984, 0.09262549132108688]	['positive', 'neutral', 'negative'][0.8467041254043579, 0.07827992737293243, 0.07501599192619324]	['positive', 'neutral', 'negative'][0.5572442412376404, 0.2331150770187378, 0.20964065194129944]	
['negative', 'positive', 'neutral'][0.7600410580635071, 0.1783379465341568, 0.06162090227007866]	['negative', 'neutral', 'positive'][0.3954254984855652, 0.3218248784542084, 0.28274962306022644]	['positive', 'neutral', 'negative'][0.40633425116539, 0.35112789273262024, 0.24253788590431213]	
['neutral', 'negative', 'positive'][0.5506862998008728, 0.3598383963108063, 0.08947525918483734]	['negative', 'neutral', 'positive'][0.7267699241638184, 0.14395847916603088, 0.12927156686782837]	['positive', 'neutral', 'negative'][0.9385079145431519, 0.038479436188936234, 0.023012662306427956]	
['positive', 'neutral', 'negative'][0.9560096859931946, 0.0258555319160223, 0.018134830519557]	['positive', 'neutral', 'negative'][0.48690536618232727, 0.3119296133518219, 0.20116502046585083]	['positive', 'neutral', 'negative'][0.6195669770240784, 0.21453148126602173, 0.1659015417098999]	
['positive', 'negative', 'neutral'][0.8189184069633484, 0.15132324397563934, 0.029758375138044357]	
