['positive', 'neutral', 'negative'][0.7689393758773804, 0.150401309132576, 0.08065929263830185]	['positive', 'negative', 'neutral'][0.5337325930595398, 0.2914213240146637, 0.17484617233276367]	
['negative', 'neutral', 'positive'][0.9249377846717834, 0.07142940163612366, 0.003632807871326804]	['negative', 'positive', 'neutral'][0.6169291138648987, 0.23998114466667175, 0.14308977127075195]	['negative', 'positive', 'neutral'][0.9235073328018188, 0.04250439628958702, 0.03398825600743294]	
['positive', 'negative', 'neutral'][0.4195643663406372, 0.3495575189590454, 0.230878084897995]	['positive', 'neutral', 'negative'][0.6187653541564941, 0.19635462760925293, 0.18488004803657532]	['positive', 'neutral', 'negative'][0.850879430770874, 0.0840829536318779, 0.06503758579492569]	
['positive', 'neutral', 'negative'][0.7527735829353333, 0.16673797369003296, 0.08048844337463379]	['neutral', 'negative', 'positive'][0.4996833801269531, 0.26434093713760376, 0.23597566783428192]	['positive', 'negative', 'neutral'][0.7695000767707825, 0.18516339361667633, 0.04533656686544418]	
['negative', 'positive', 'neutral'][0.36195746064186096, 0.35355818271636963, 0.2844843566417694]	['negative', 'neutral', 'positive'][0.7840138077735901, 0.11753316223621368, 0.09845303744077682]	['negative', 'positive', 'neutral'][0.5766189098358154, 0.33041414618492126, 0.0929669663310051]	
['negative', 'neutral', 'positive'][0.9855135679244995, 0.00876849889755249, 0.005717979744076729]	['negative', 'positive', 'neutral'][0.9724092483520508, 0.015628814697265625, 0.01196194626390934]	['neutral', 'positive', 'negative'][0.5895794630050659, 0.21383872628211975, 0.19658179581165314]	
['negative', 'positive', 'neutral'][0.7277140617370605, 0.14358361065387726, 0.12870237231254578]	['negative', 'positive', 'neutral'][0.7277140617370605, 0.14358361065387726, 0.12870237231254578]	['negative', 'neutral', 'positive'][0.35938701033592224, 0.327064573764801, 0.31354838609695435]	
['positive', 'neutral', 'negative'][0.8070061802864075, 0.13402846455574036, 0.0589652918279171]	['positive', 'neutral', 'negative'][0.6188434958457947, 0.20997773110866547, 0.17117878794670105]	['positive', 'negative', 'neutral'][0.4745396077632904, 0.34748899936676025, 0.17797143757343292]	
['neutral', 'positive', 'negative'][0.4236971437931061, 0.32381901144981384, 0.25248387455940247]	['positive', 'negative', 'neutral'][0.5238085985183716, 0.3416002690792084, 0.13459110260009766]	['positive', 'neutral', 'negative'][0.49911677837371826, 0.2574850916862488, 0.24339810013771057]	
['negative', 'positive', 'neutral'][0.9227141737937927, 0.0587192140519619, 0.018566595390439034]	['positive', 'neutral', 'negative'][0.500529408454895, 0.2549763321876526, 0.24449428915977478]	['positive', 'negative', 'neutral'][0.6513587832450867, 0.17597737908363342, 0.1726638376712799]	
['positive', 'negative', 'neutral'][0.6925349831581116, 0.16678161919116974, 0.14068348705768585]	['negative', 'neutral', 'positive'][0.5711537599563599, 0.3504839837551117, 0.07836218923330307]	['negative', 'positive', 'neutral'][0.5239987969398499, 0.29896238446235657, 0.17703884840011597]	
['positive', 'neutral', 'negative'][0.6662519574165344, 0.18203063309192657, 0.1517174243927002]	
