「それは、おっしゃるまでもなく、よくこころえております。」	小林という名探偵がやってくることになりました。	　電話が切れて、十分もたったかと思われたころ、ひとりのかわいらしい少年が、羽柴家の玄関に立って、案内をこいました。秘書が取りつぎに出ますと、その少年は、
「先生、お帰りなさい。」	小林君はうれしさに、もうむがむちゅうになって、先生のそばへかけよりました。	　明智探偵は赤帽にいくつかのトランクをわたすと、プラットホームへおりたち、小林君のほうへよってきました。
　明智探偵は赤帽にいくつかのトランクをわたすと、プラットホームへおりたち、小林君のほうへよってきました。	小林君、いろいろ苦労をしたそうだね。	　ああ、三月ぶりで聞く先生の声です。小林君は上気した顔で名探偵をじっと見ながら、いっそう、そのそばへよりそいました。そして、どちらからともなく手がのびて、師弟のかたい握手がかわされたのでした。
先生の声です。	小林君は上気した顔で名探偵をじっと見ながら、いっそう、そのそばへよりそいました。	　そのとき、外務省の辻野氏が、明智のほうへ歩みよって、肩書きつきの名刺をさしだしながら、声をかけました。
「ええ、では、ぼく、先へまいります。」	小林君は赤帽のあとを追って、かけだしていくのを見おくりますと、名探偵と辻野氏とは、肩をならべ、さもしたしげに話しあいながら、地下道をぬけて、東京駅の二階にある鉄道ホテルへのぼっていきました。	　あらかじめ命じてあったものとみえ、ホテルの最上等の一室に、客を迎える用意ができていて、かっぷくのよいボーイ長が、うやうやしくひかえています。
探偵の名助手小林少年です。	小林君は例の七つ道具の一つ、万年筆型の望遠鏡で、ホテルの窓をのぞきながら、何かのあいずを待ちかまえているようすです。	「あ、小林の小僧だな。じゃ、あいつは家へ帰らなかったのか。」
　読者諸君は、それがだれだか、もうとっくにお察しのことと思います。そうです。お察しのとおり明智探偵の名助手小林少年です。小林君は例の七つ道具の一つ、万年筆型の望遠鏡で、ホテルの窓をのぞきながら、何かのあいずを待ちかまえているようすです。	小林の小僧だな。	「そうだよ。ぼくがどの部屋へはいるか、ホテルの玄関で問いあわせて、その部屋の窓を、注意して見はっているようにいいつけているのだよ。」
ぼくのほうには今君をとらえる考えは少しもないのだ。	小林君に、すぐ警察へうったえさせるよ。	「だが、きみもふしぎな男じゃないか。そうまでして、このおれを逃がしたいのか。」
「きみは、どうしてそれを知っているんです。」	小林君がプラットホームでへんなことをしているのを見つけたのです。	「それはご苦労さま、だが、あの男はもう帰ってしまいましたよ。」
「この人でした。この人にちがいありません。」	小林君は、キッパリと答えました。	「ハハハ……、どうだね、きみ、子どもの眼力にかかっちゃかなわんだろう。きみが、なんといいのがれようとしたって、もうだめだ。きみは二十面相にちがいないのだ。」
　ごらん、窓の外を。ホラ、あすこに紙芝居屋がいるだろう。こんなさびしいところで、紙芝居が荷をおろしたって、商売になるはずはないのに、あいつはもうさっきから、あすこに立ちどまって、この窓を、見ぬようなふりをしながら、いっしょうけんめいに見ているのだよ。」	小林君が、明智邸の門前の細い道路を見ますと、いかにも、ひとりの紙芝居屋が、うさんくさいようすで立っているのです。	「じゃ、あいつ二十面相の部下ですね。先生のようすをさぐりに来ているんですね。」
「じゃ、ぼく、姿をかえて尾行してみましょうか。」	小林君は気が早いのです。	「いや、そんなことしなくてもいいんだ。ぼくに少し考えがあるからね。相手は、なんといってもおそろしく頭のするどいやつだから、うかつなまねはできない。
「いや、そんなことしなくてもいいんだ。ぼくに少し考えがあるからね。相手は、なんといってもおそろしく頭のするどいやつだから、うかつなまねはできない。	小林君、あすあたり、ぼくの身辺に、少しかわったことが、おこるかもしれないよ。	　そんなふうに、しんみりといわれますと、小林少年は、するなといわれても、心配しないわけにはいきませんでした。
　ところでねえ、小林君、あすあたり、ぼくの身辺に、少しかわったことが、おこるかもしれないよ。だが、けっしておどろくんじゃないぜ。ぼくは、けっして二十面相なんかに、出しぬかれやしないからね。たとえぼくの身があぶないようなことがあっても、それも一つの策略なのだから、けっして心配するんじゃないよ。いいかい。」	小林少年は、するなといわれても、心配しないわけにはいきませんでした。	「先生、何かあぶないことでしたら、ぼくにやらせてください。先生に、もしものことがあってはたいへんですから。」
　一晩待ちあかして朝になっても、また、一日むなしく待って、夜がきても、先生はお帰りになりません。警察では二十面相に誘かいされたのだといいますし、新聞やラジオまでそのとおりに報道するものですから、先生の身のうえが心配なばかりでなく、名探偵の名誉のために、くやしくって、くやしくって、たまらないのです。	小林君は自分の心配のほかに、先生の奥さんをなぐさめなければなりませんでした。	「奥さん大じょうぶですよ。先生が賊のとりこなんかになるもんですか。きっと先生には、ぼくたちの知らない、何か深い計略があるのですよ。それでこんなにお帰りがおくれるんですよ。」
「奥さん大じょうぶですよ。先生が賊のとりこなんかになるもんですか。きっと先生には、ぼくたちの知らない、何か深い計略があるのですよ。それでこんなにお帰りがおくれるんですよ。」	小林君は、そんなふうにいって、しきりと明智夫人をなぐさめましたが、しかし、べつに自信があるわけではなく、しゃべっているうちに、自分のほうでも不安がこみあげてきて、ことばもとぎれがちになるのでした。	　名探偵助手の小林君も、こんどばかりは、手も足も出ないのです。二十面相のかくれがを知る手がかりはまったくありません。
　その日はちょうど日曜日だったのですが、明智夫人と小林少年が、さびしい朝食を終わったところへ、玄関へ鉄砲玉のようにとびこんできた少年がありました。	小林君いますか。	　すきとおった子どもの叫び声に、おどろいて出てみますと、おお、そこには、ひさしぶりの羽柴壮二少年が、かわいらしい顔をまっかに上気させて、息をきらして立っていました。よっぽど大急ぎで走ってきたものとみえます。
「オヤ、壮二君ですか。よく来ましたね。サア、おあがりなさい。」	小林君は自分より二つばかり年下の壮二君を、弟かなんぞのようにいたわって、応接室へみちびきました。	「で、なんかきゅうな用事でもあるんですか。」
　きょうは日曜でしょう。だもんだから、ぼくみんなを連れて、きみんちへおみまいに来たんです。そしてね、みんなはね、きみのさしずを受けて、ぼくたち少年探偵団の力で、明智先生のゆくえをさがそうじゃないかって言ってるんです。」	小林少年をにらみつけるようにして、返事を待つのでした。	「ありがとう。」
「ありがとう。」	小林君は、なんだか涙が出そうになるのを、やっとがまんして、ギュッと壮二君の手をにぎりました。	「きみたちのことを明智先生がお聞きになったら、どんなにお喜びになるかもしれないですよ。ええ、きみたちの探偵団でぼくをたすけてください。みんなで何か手がかりをさがしだしましょう。
　見ると、小学校上級生ぐらいの、健康で快活な少年たちでした。	小林君は、壮二君の紹介で、ポーチの上から、みんなにあいさつしました。	　むろん一同大賛成です。
　そのとき、門内から、黒い背広のひとりの紳士があらわれました。さわぎを知って、かけだしてきた明智探偵です。小林少年は目早く、先生のぶじな姿を見つけますと、驚喜のさけび声をたてて、そのそばへかけよりました。	小林君。	　明智探偵も、思わず少年の名を呼んで、両手をひろげ、かけだしてきた小林君を、その中にだきしめました。美しい、ほこらしい光景でした。この、うらやましいほど親密な先生と弟子とは、力をあわせて、ついに怪盗逮捕の目的をたっしたのです。そして、おたがいのぶじを喜び、苦労をねぎらいあっているのです。
