子どもらしい思いつきでした。	少年の直感というものは、けっしてばかにできません。	人か魔か
奇妙な取りひき	少年探偵さん、どうだったね、ゆうべの寝ごこちは。	　賊は、にくにくしくあざけるのでした。
「やあ、おはよう。ぼくは逃げだそうなんて思ってやしないよ。居ごこちがいいんだもの。この部屋は気にいったよ。ぼくはゆっくり滞在するつもりだよ。」	少年も負けてはいませんでした。	　ピッポちゃんさえ、ぶじに探偵事務所へついてくれたら、もうしめたものです。二十面相が、どんなに毒口をたたいたって、なんともありません。最後の勝利はこっちのものだとわかっているからです。
　賊は大きなことはいうものの、やっぱりピストルをきみ悪がっているのでした。それを食事の代価としてとりあげるとは、うまいことを思いついたものです。	少年は、やがて救いだされることを信じていましたから、それまで食事をがまんするのは、なんでもないのですが、あまり平気な顔をしていて、相手にうたがいをおこさせてはまずいと考えました。	「ざんねんだけれど、きみの申し出に応じよう。ほんとうは、おなかがペコペコなんだ。」
「さあ、あたたかいご飯を持ってきてあげたよ。が、まず代価のほうを、さきにちょうだいすることにしよう。さあ、このかごにピストルを入れるんだ。」	少年が、いわれるままに、ピストルをその中へ入れますと、かごは、手ばやく天井へたぐりあげられ、それから、もう一度おりてきたときには、その中に湯気のたっているおにぎりが三つと、ハムと、なま卵と、お茶のびんとが、ならべてありました。	「さあ、ゆっくりたべてくれたまえ。きみのほうで代価さえはらってくれたら、いくらでもごちそうしてあげるよ。お昼のご飯には、こんどはダイヤモンドだぜ。せっかく手に入れたのを、気のどくだけれど、一粒ずつちょうだいすることにするよ。いくらざんねんだといって、ひもじさにはかえられないからね。つまり、そのダイヤモンドを、すっかり、返してもらうというわけなんだよ。一粒ずつ、一粒ずつ、ハハハ……、ホテルの主人も、なかなかたのしみなものだねえ。」
　そのまえに、彼自身がとりこになってしまうようなことはないでしょうか。	少年の勝利二十面相は、おとし戸のところにしゃがんだまま、今、とりあげたばかりのピストルを、手のひらの上でピョイピョイとはずませながら、とくいの絶頂でした。	　バタバタと二階からかけおりる音がして、コックの恐怖にひきつった顔があらわれました。
少年の勝利二十面相は、おとし戸のところにしゃがんだまま、今、とりあげたばかりのピストルを、手のひらの上でピョイピョイとはずませながら、とくいの絶頂でした。	少年をからかってたのしもうと、何かいいかけたときでした。	　バタバタと二階からかけおりる音がして、コックの恐怖にひきつった顔があらわれました。
小林君の考えていたよりも早く、もう警官隊が到着したのでした。	少年探偵は、うれしさにとびたつばかりです。	　この不意うちには、さすがの二十面相も仰天しないではいられません。
「いる、いる。きみが小林君か。」	少年は、「そうです。	と叫ぶのでした。
「小林君、二十面相はどこへ行ったか、きみは知らないか。」	少年をとらえて、中村係長があわただしくたずねました。	「つい今しがたまで、このおとし戸のところにいたんです。外へ逃げたはずはありません。二階じゃありませんか。」
「つい今しがたまで、このおとし戸のところにいたんです。外へ逃げたはずはありません。二階じゃありませんか。」	少年のことばが終わるか終わらぬかに、その二階からただならぬさけび声がひびいてきました。	「早く来てくれ、賊だ、賊をつかまえたぞ！」
　中村係長は少年名探偵の手をとって、感謝にたえぬもののように、にぎりしめるのでした。	少年の勝利に終わりました。	「ぼく、なんだかうそみたいな気がします。二十面相に勝ったなんて。」
　中村係長は、それを聞くと、ハッと顔色をかえないでいられませんでした。	少年がちゃんと証明しているじゃないか。	「ワハハハ……、それがまちがっているんだから、お笑いぐさでさあ。あたしはね、べつになんにも悪いことをしたおぼえはねえ、ただのコックですよ。二十面相だかなんだか知らないが、十日ばかりまえ、あの家へやとわれたコックの虎吉ってもんですよ。なんなら、コックの親方のほうをしらべてくださりゃ、すぐわかることです。」
彼の大事業とはいったい、何を意味するのでしょうか。	少年などの手におえないかもしれません。	　ああ、名探偵明智小五郎と怪人二十面相の対立、知恵と知恵との一騎うち、その日が待ちどおしいではありませんか。
　小林君は、ジャンパー姿で、よく似合う鳥打ち帽をかぶって、ピカピカ光る靴をコツコツいわせながら、プラットホームを行ったり来たりしています。手には、一枚の新聞紙を棒のようにまるめてにぎっています。読者諸君、じつはこの新聞には二十面相に関する、あるおどろくべき記事がのっているのですが、しかし、それについては、もう少しあとでお話しましょう。	少年が東京駅にやってきたのは、先生の明智小五郎を出むかえるためでした。	　明智は某国からの招きに応じ、ある重大な事件に関係し、みごとに成功をおさめて帰ってくるのですから、いわば凱旋将軍です。本来ならば、外務省とか民間団体から、大ぜいの出むかえがあるはずですが、明智はそういうぎょうぎょうしいことが大きらいでしたし、探偵という職業上、できるだけ人目につかぬ心がけをしなければなりませんので、公の方面にはわざと通知をしないで、ただ自宅だけに東京駅着の時間をしらせておいたのでした。それも、いつも明智夫人は出むかえをえんりょして、小林少年が出かけるならわしになっていました。
「ええ、そうですが……。」	少年の顔を見て、紳士はうなずきながら、「わたしは、外務省の辻野という者だが、この列車で明智さんが帰られることがわかったものだから、非公式にお出むかえにきたのですよ。	と説明しました。
明智先生の姿が見えました。	少年に気づいて、にこにこしながら手まねきをしているのです。	「先生、お帰りなさい。」
「ええ、ぼくはちっともさしつかえありません。では、おともしましょう。」	少年に近づいて、何か小声にささやいてから、「小林君、ちょっとこの方とホテルへよることにしたからね、きみは荷物をタクシーにのせて、一足先に帰ってくれたまえ。	と命じるのでした。
　明智小五郎の自宅に電話がかけられました。しかし、ちょうどそのとき、名探偵は外務省に出むいて、るす中でしたので、かわりに小林少年が出頭することになりました。	少年があらわれました。	「わしがほんものじゃ」
「先生、ぼく少しわからないことがあるんですが。」	少年は、いつも、ふにおちないことは、できるだけ早く、勇敢にたずねる習慣でした。	「先生が二十面相をわざと逃がしておやりになったわけは、ぼくにもわかるのですけれど、なぜあのとき、ぼくに尾行させてくださらなかったのです。博物館の盗難をふせぐのにも、あいつのかくれがが知れなくては、こまるんじゃないかと思いますが。」
「だが、きみが今まで見たのは、この家の機械じかけの半分にもたりないのだよ。その中には、ぼくのほかはだれも知らないしかけもある。なにしろ、これがぼくのほんとうの根城だからね。ここのほかにも、いくつかのかくれががあるけれど、それらは、敵をあざむくほんの仮住まいにすぎないのさ。」	少年が苦しめられた戸山ヶ原のあばらやも、そのかりのかくれがの一軒だったのでしょうか。	「いずれきみにも見せるがね、この奥にぼくの美術室があるんだよ。」
　もう明智という大敵をのぞいてしまったのだから、それらの美術品は手に入れたも同然だとばかり、二十面相はさも心地よげに、カラカラとうち笑うのでした。	少年探偵団翌朝になっても明智探偵が帰宅しないものですから、るす宅は大さわぎになりました。	　探偵が同伴して出かけた、事件依頼者の婦人の住所がひかえてありましたので、そこをしらべますと、そんな婦人なんか住んでいないことがわかりました。さては二十面相のしわざであったかと、人々は、はじめてそこへ気がついたのです。
読者諸君はよもやおわすれではありますまい。	少年こそ、いつか自宅の庭園にわなをしかけて、二十面相を手ひどい目にあわせた、あの大実業家羽柴壮太郎氏のむすこさんです。	「オヤ、壮二君ですか。よく来ましたね。サア、おあがりなさい。」
「で、なんかきゅうな用事でもあるんですか。」	少年は、おとなのような口調で、こんなことをいうのでした。	「明智先生、たいへんでしたね。まだゆくえがわからないのでしょう。それについてね、ぼく少し相談があるんです。
　あのね、いつかの事件のときから、ぼく、きみを崇拝しちゃったんです。そしてね、ぼくもきみのようになりたいと思ったんです。それから、きみのはたらきのことを、学校でみんなに話したら、ぼくと同じ考えのものが十人も集まっちゃったんです。	少年探偵団っていう会をつくっているんです。	　きょうは日曜でしょう。だもんだから、ぼくみんなを連れて、きみんちへおみまいに来たんです。そしてね、みんなはね、きみのさしずを受けて、ぼくたち少年探偵団の力で、明智先生のゆくえをさがそうじゃないかって言ってるんです。」
　そして、ふたりは、明智夫人のゆるしをえたうえ、ポーチのところへ出たのですが、壮二君はいきなり門の外へかけだして行ったかと思うと、まもなく、十人の探偵団員を引きつれて、門内へひきかえしてきました。	少年たちでした。	　小林君は、壮二君の紹介で、ポーチの上から、みんなにあいさつしました。そして、明智探偵捜査の手段について、こまごまとさしずをあたえました。
午後四時	少年探偵団のけなげな捜索は、日曜、月曜、火曜、水曜と、学校の余暇を利用して、忍耐強くつづけられましたが、いつまでたっても、これという手がかりはつかめませんでした。	　しかし、東京中の何千人というおとなのおまわりさんにさえ、どうすることもできないほどの難事件です。手がかりがえられなかったといって、けっして、少年捜索隊の無能のせいではありません。それに、これらの勇ましい少年たちは、後日、またどのような手がらをたてないものでもないのです。
人というおとなのおまわりさんにさえ、どうすることもできないほどの難事件です。	少年捜索隊の無能のせいではありません。	　明智探偵ゆくえ不明のまま、おそろしい十二月十日は、一日一日とせまってきました。警視庁の人たちは、もういてもたってもいられない気持です。なにしろ盗難を予告された品物が、国家の宝物というのですから、捜査課長や、ちょくせつ二十面相の事件に関係している中村係長などは、心配のためにやせほそる思いでした。
少年捜索隊の無能のせいではありません。	少年たちは、後日、またどのような手がらをたてないものでもないのです。	　明智探偵ゆくえ不明のまま、おそろしい十二月十日は、一日一日とせまってきました。警視庁の人たちは、もういてもたってもいられない気持です。なにしろ盗難を予告された品物が、国家の宝物というのですから、捜査課長や、ちょくせつ二十面相の事件に関係している中村係長などは、心配のためにやせほそる思いでした。
小学生たちは、小林芳雄君を団長にいただく、あの少年探偵団でありました。	少年たちはもう長いあいだ、博物館のまわりを歩きまわって、何かのときの手助けをしようと、手ぐすねひいて待ちかまえていたのでした。	　まず先頭の小林少年が二十面相を目がけて、鉄砲玉のようにとびついていきました。つづいて羽柴壮二少年、つぎはだれ、つぎはだれと、みるみる、賊の上に折りかさなって、両手の不自由な相手を、たちまちそこへころがしてしまいました。
　読者諸君は、もうおわかりでしょう。この小学生たちは、小林芳雄君を団長にいただく、あの少年探偵団でありました。少年たちはもう長いあいだ、博物館のまわりを歩きまわって、何かのときの手助けをしようと、手ぐすねひいて待ちかまえていたのでした。	少年が二十面相を目がけて、鉄砲玉のようにとびついていきました。	　さすがの二十面相も、いよいよ運のつきでした。
明智探偵です。	少年は目早く、先生のぶじな姿を見つけますと、驚喜のさけび声をたてて、そのそばへかけよりました。	「おお、小林君。」
警官たちも、この美しい光景にうたれて、にこやかに、しかし、しんみりした気持で、ふたりのようすをながめていました。	少年探偵団の十人の小学生は、もうがまんができませんでした。	「明智先生、ばんざーい。」
